 ------- 10/18/2010 2:50:45 PM -------- 
Red, 5, RPRKN, Predicted, 10/18/2010 2:53:03 PM, 00:00:42, Revenue, 0
Red, 5, RMGHN, Predicted, 10/18/2010 2:55:03 PM, 00:02:42, Revenue, 0
Red, 5, RKENN, Predicted, 10/18/2010 2:57:03 PM, 00:04:42, Revenue, 0
Red, 5, RCENN, Predicted, 10/18/2010 2:59:03 PM, 00:06:42, Revenue, 0
Red, 5, RHARN, Predicted, 10/18/2010 3:03:03 PM, 00:10:42, Revenue, 0
Red, 5, RPORN, Predicted, 10/18/2010 3:06:03 PM, 00:13:42, Revenue, 0
Red, 5, RDAVN, Predicted, 10/18/2010 3:09:03 PM, 00:16:42, Revenue, 0
Red, 5, RALEN, Predicted, 10/18/2010 3:12:03 PM, 00:19:42, Revenue, 0
Red, 10, RCENS, Arrived, 10/18/2010 2:51:15 PM, -00:01:06, Revenue, 0
Red, 10, RKENS, Predicted, 10/18/2010 2:54:15 PM, 00:01:53, Revenue, 0
Red, 10, RMGHS, Predicted, 10/18/2010 2:56:15 PM, 00:03:53, Revenue, 0
Red, 10, RPRKS, Predicted, 10/18/2010 2:58:15 PM, 00:05:53, Revenue, 0
Red, 10, RDTCS, Predicted, 10/18/2010 3:00:15 PM, 00:07:53, Revenue, 0
Red, 10, RSOUS, Predicted, 10/18/2010 3:02:15 PM, 00:09:53, Revenue, 0
Red, 10, RBROS, Predicted, 10/18/2010 3:04:15 PM, 00:11:53, Revenue, 0
Red, 10, RANDS, Predicted, 10/18/2010 3:06:15 PM, 00:13:53, Revenue, 0
Red, 10, RJFKS, Predicted, 10/18/2010 3:08:15 PM, 00:15:53, Revenue, 0
Red, 10, RNQUS, Predicted, 10/18/2010 3:17:15 PM, 00:24:53, Revenue, 0
Red, 10, RWOLS, Predicted, 10/18/2010 3:20:15 PM, 00:27:53, Revenue, 0
Red, 10, RQUCS, Predicted, 10/18/2010 3:23:15 PM, 00:30:53, Revenue, 0
Red, 10, RQUAS, Predicted, 10/18/2010 3:26:15 PM, 00:33:53, Revenue, 0
Red, 10, RBRAS, Predicted, 10/18/2010 3:30:15 PM, 00:37:53, Revenue, 0
Red, 18, RHARS, Arrived, 10/18/2010 2:51:51 PM, -00:00:30, Revenue, 1
Red, 18, RCENS, Predicted, 10/18/2010 2:54:51 PM, 00:02:29, Revenue, 1
